,date,text
139,2022-07-14 04:01:27+00:00,"Grateful for the big guests &amp; interesting topics feat. on Coin Stories recently:
-@thetrocro: #Bitcoin energy
-@stoolpresidente: Building Barstool Sports
-@nic__carter's full back story
-@diopfode: #Bitcoin &amp; developing nations
-@BTC_Archive: #BTC values

https://t.co/3g6UtTSXgD"
140,2022-07-14 06:34:28+00:00,"Stayed up late to finish this. What an excellent and thoughtful #Bitcoin/#Macro talk from start to finish. Thank you so much @PrestonPysh and @LawrenceLepard. I took many notes.

https://t.co/iIspT8zlGg"
141,2022-07-14 12:59:02+00:00,The world needs money that won’t crash. #Bitcoin
142,2022-07-14 14:08:03+00:00,"15,600,000 Bolivars.

The amount of money you need to buy a 5 pound chicken in Venezuela.

#Bitcoin fixes this. https://t.co/eb8ZBDRclS"
143,2022-07-14 14:42:09+00:00,The New York Yankees will leverage NYDIG’s platform to enable its employees to convert part of their salary into #bitc…
144,2022-07-14 14:43:07+00:00,Global inflation rates: 🇳🇱 - 8.6% 🇺🇸 - 9.1% 🇬🇧 - 9.1% 🇪🇸 - 10.2% 🇧🇷 - 11.9% 🇵🇱 - 15.6% 🇷🇺 - 15.9% 🇦🇷 - 60.7% 🇹🇷 - 78.…
145,2022-07-14 15:00:56+00:00,"Join us on July 23rd to listen to top influential industry #BTC leaders, enthusiasts, &amp; Bitcoiners of all levels &amp; expert…"
146,2022-07-14 16:18:54+00:00,There’s always something to learn with #Bitcoin  🙌🏼
147,2022-07-14 18:12:46+00:00,Today the Blue Dollar rate surged to 288 ARS per USD. The ARS has lost 99.4% of its purchasing power vs. the USD in 20 years. #Bitcoin is hope for #Argentina. https://t.co/0nofr3HHpk
148,2022-07-14 18:12:47+00:00,"In countries suffering from collapsing currencies, centrally managed banks, capital controls, and excessive economic regulations, corporations, individuals, &amp; families need a global ethical economic solution like #bitcoin to protect their wealth &amp; prosper.
https://t.co/u7JAdFmnVx"
149,2022-07-14 18:35:44+00:00,"Interested in a bronze #bitcoin sculpture?

I'll only be offering 21 of these in total and then done. 

$4,500 + shipping. Shoot me a DM. https://t.co/5cj3jP81ZB"
150,2022-07-14 19:44:24+00:00,#Bitcoin is freedom. More will understand this soon.
151,2022-07-14 19:45:14+00:00,"It was so fun to have an hour of girl time with @aubreystrobel, who just launched @theaubservation! 

We talk:
- Aubrey growing up on a Native American reservation
- #Bitcoin &amp; freedom
- Politics/news media
- Maximalists &amp; cancel culture 
- Her new show!

https://t.co/3g6UtTSXgD https://t.co/JVu5ex0vTy"
152,2022-07-14 20:05:59+00:00,"the way you guard the bitcoin, is you sell and short the other tickers vs #bitcoin."
153,2022-07-14 21:23:29+00:00,"Just finished this spaced of over 3,000 live listeners (second half so final 3 hours only) explaining how I view NFTs, Decentralization &amp; Ethereum vs #Bitcoin... 
Worth a listen ----&gt; 👇
https://t.co/wkjAR7GInQ"
154,2022-07-14 21:55:41+00:00,"It was so fun to have an hour of girl time with @aubreystrobel, who just launched @theaubservation! We talk: - Aubrey gro…"
155,2022-07-14 22:39:53+00:00,"This week's HARD MONEY with @natbrunell Topics this week included: - #inflation, The Fed, @CelsiusNetwork - Exclusive…"
156,2022-07-14 22:52:10+00:00,"Coming up at 4pm PT!

@natbrunell hosts @HardMoneyShow with the week’s top headlines, guest @FossGregfoss, macro update with @edstromandrew and an El Salvador story with a balanced view of #Bitcoin adoption featuring @MilenaMayorga and @nayibbukele

👀📺 https://t.co/LwjSuf440K https://t.co/LHWbcQPGB7"
157,2022-07-12 01:30:32+00:00,The Great American #Bitcoin Bike Tour is officially in SoCal! Check out @CaptainSiddh’s inspiring journey on @HardMoneyS…
158,2022-07-12 09:19:39+00:00,"""I believe it's a noble endeavour to try to work with them, to help &amp; educate them on what #Bitcoin is, &amp; guide them through t…"
159,2022-07-12 12:00:22+00:00,Take the long view. #Bitcoin
160,2022-07-12 13:37:16+00:00,"If you are actively trading and have a valid setup great! 

But #bitcoin is the only thing I would be interested in DCA into and even then I prefer limit orders so I can dictate my risk"
161,2022-07-12 16:05:03+00:00,"You can’t stop an idea whose time has come. 

#Bitcoin"
162,2022-07-12 17:54:52+00:00,Federal Reserve Bank of Cleveland: Lightning network is turning #Bitcoin into money. PDF: https://t.co/q8lu2B4SW7 https://t.…
163,2022-07-12 17:56:40+00:00,"Hope so... though ""Rethink Life"" sounds a lot worse in print haha... Restructure #Bitcoin Dependent Business Model is more in context :)"
164,2022-07-12 18:19:39+00:00,"#Bitcoin Trying to Hold Off a Disaster!
https://t.co/JmTCXYYgze"
165,2022-07-12 19:16:41+00:00,The idea that #Bitcoin couldn’t scale was a lie that fooled many people via the censorship of this truth: https://t.co/T5rn233zI1
166,2022-07-12 19:31:20+00:00,"Thinking about additions to my Harley to make it a subtle, classy #Bitcoin bike. What trim / paint / decals would you a…"
167,2022-07-12 19:57:25+00:00,High school computer science student turned #Bitcoin developer @danielabrozzoni recounts her exciting journey and gives advic…
168,2022-07-12 22:53:06+00:00,"#Bitcoin changes you.

Too many people fear change."
